ID (primary key),Job Title,Company Name,Job URL,Job Source
130093,Marketing Analyst,Duolingo,https://boards.greenhouse.io/duolingo/jobs/4975200002,Greenhouse
130094,Software Engineer,Code.org,https://jobs.lever.co/code.org/3b7da91d-b00d-49e3-9349-dd8dac2cd2a1/apply,Lever
130095,Software Engineer,Code.org,https://www.diversifytech.co/job-board/software-engineer-codeorg,Unknown
130096,Customer Insights Analyst,Thirty Madison,https://boards.greenhouse.io/thirtymadison/jobs/5003737002?gh_src=063b27a62us,Greenhouse
130097,,Unknown,https://www.squarespace.com/careers/jobs/2440019?gh_src=ux4aq11&rx_source=builtinnyc&rx_paid=1,Unknown
130098,,Unknown,https://newsela.com/about/company/careers/post/?gh_jid=2464911&gh_src=85c0fdc51,Unknown
130099,,Unknown,https://www.alphasights.com/careers/open-positions?gh_jid=2515573&gh_src=r2gtsjuy1&region=the_americas&experience=All%20Experience%20Levels,Unknown
130100,,Unknown,https://www.linkedin.com/jobs/view/2355654296/?lgTemp=jobs_jymbii_digest&eBP=NotAvailableFromMidTier&lgCta=eml-jymbii-organic-job-card&recommendedFlavor=HIDDEN_GEM&refId=%C2%9B%C3%80frl%13%C2%AFb%C3%BAu%C3%BD%C3%9D%C3%8AN%C2%94O&trackingId=2kDn7092ewABB7dZUXxXSQ%3D%3D&midToken=AQEfrHMoJvt4nQ&midSig=1P2Qk7yJNYuVA1&trk=eml-jobs_jymbii_digest-jymbii-75-job_card_mercado&trkEmail=eml-jobs_jymbii_digest-jymbii-75-job_card_mercado-null-ay0ofu%7Ekjoxua80%7Ey1-null-jobs%7Eview,LinkedIn
130101,Full Stack Software Engineer,Confluent,https://jobs.lever.co/confluent/8b261507-c9d6-45fa-961a-118dc0fcdcf5/apply,Lever
130102,PMM,Code academy,https://www.codecademy.com/about/jobs?gh_jid=4816374002,Unknown
130103,Product Marketing Manager ,HoneyBook,https://boards.greenhouse.io/honeybook/jobs/2425075,Greenhouse
130104,Software Engineer,Cellares,https://jobs.lever.co/cellares/85c58f95-4e34-4ca5-b25e-b99f5ef7464c/apply?lever-source=LinkedIn,Lever
130105,,Unknown,https://www.linkedin.com/jobs/view/2360785815/?lgTemp=jobs_jymbii_digest&eBP=NotAvailableFromMidTier&lgCta=eml-jymbii-organic-job-card&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=%19%C2%B9%C2%86%C2%AC%C3%B5%2C%C3%AD%15%23%C2%92%C2%A7%C2%89%7F%C3%80%C3%B7%0C&trackingId=IExbLZYxEowu8I0FCHAKCw%3D%3D&midToken=AQGh_Yr0ahyDWw&midSig=0hsmkLQKCvuVA1&trk=eml-jobs_jymbii_digest-jymbii-76-job_card_mercado&trkEmail=eml-jobs_jymbii_digest-jymbii-76-job_card_mercado-null-6ewh1y%7Ekjoz42ux%7Ebn-null-jobs%7Eview,LinkedIn
130106,"Data Analyst, Global Analytics & Insights, Community Operations",Uber,https://www.uber.com/careers/apply/form/65452?flow=prefill,Company Website
130107,Data Analyst - Operations ,Spin,https://boards.greenhouse.io/spinskinnylabsinc/jobs/5018497002?gh_src=f59b61f82us,Greenhouse
130108,,Unknown,https://nutanix.eightfold.ai/careers?pid=2998080&domain=nutanix.com&recommended=1#apply,Unknown
130109,Business Intelligence (BI) Analyst (Seattle Region),Orangetheory Fitness,https://www.linkedin.com/jobs/search/?currentJobId=2373820802&f_TPR=r86400&geoId=90000091&keywords=data%20analyst&location=Greater%20Seattle%20Area,LinkedIn
130110,Senior Designer - UI,Unknown,https://jobs.jobvite.com/vmlyr/job/oQUudfwb/apply,Jobvite
130111,Marketing Data Analyst Intern,Veritas Technologies LLC,https://www.linkedin.com/jobs/view/2355685066/?alertAction=markasviewed&savedSearchAuthToken=1%26AQG77hDZ7hahuwAAAXbmIiqD7lDDpMDsX0L-jeJcv-aI9omQ8uh16EJKzzTgig0lFc2ck6XLNsaSZmMejxXvHCY69QjfkXnNAKA30_KFX5NKBpHbV6FnJiwmH2dWTc-OiHJ6JiS-xRBhwPIsH-L9pMOeYqhpbOLAui2jKOpdeBXfmCUHpqiov5BvziGTXwhL3haurlBQx44oOexR6eyXn7wzymdbIN7zRZQQPo5La_m4-K3SMTWxjmRomAod4JefOoK8mfSyGFG_egoJuch6Trbj55sBZHNPcW84etnEqUnXTcwnFHTG7mE%26AZpvRg4Y9QJP_xNEmRjH_eGgrDTh&savedSearchId=905993406&refId=539a4466-28e0-458a-a39d-88cd06c8007a&trackingId=DFn25ULKTJMtiYg2OxvPrA%3D%3D&midToken=AQFR37wLTVB1yw&midSig=1XvIeQbEFovpA1&trk=eml-email_job_alert_single_02-job_alert-6-member_details_mercado&trkEmail=eml-email_job_alert_single_02-job_alert-6-member_details_mercado-null-6vv5z4%7Ekjpev4it%7Ezc-null-jobs%7Eview,LinkedIn
130112,Product Manager,ALM,https://globalus59.dayforcehcm.com/CandidatePortal/en-US/alm/Posting/View/53,Company Website
130113,Customer Success Manager,Interview Schedule,https://jobs.lever.co/interviewschedule/6974d4e7-7590-48bb-9046-7a6fde184375,Lever
130114,Customer Success Specialist,Bbot,https://airtable.com/shrShFBsGkYin7ECN,Unknown
130115,CSM,Evisort,https://jobs.lever.co/evisort-2/5bbffc90-1e57-4bf7-892b-da43f0113c28,Lever
130116,Sales Representative,Winnie,https://jobs.lever.co/winnie/17b07872-dacb-4c6a-b13e-f220f4400b36,Lever
130117,SDR,WhatConverts,https://whatconverts.breezy.hr/p/e4fdce7c7ca4-sales-development-representative-for-saas-marketing-software,Company Website
130118,SDR,strongDM,https://jobs.lever.co/strongdm/5f6f0a34-21ca-4e12-b852-a4f157862082,Lever
130119,BDR,Evisort,https://jobs.lever.co/evisort-2/2e6e7b88-7ca5-46df-bbeb-e8cb3fb24511,Lever
130120,BDR,Aurora,https://jobs.lever.co/aurorasolar/a5289648-55e9-4dd2-9095-6a7986e1222c,Lever
130121,Associate Product Manager,Narvar,https://boards.greenhouse.io/narvar/jobs/2343207?gh_src=bea13f051us#app,Greenhouse
130122,Associate Product Manager,Sidebench,https://jobs.lever.co/sidebench/44acb520-cbdd-44f7-9ef5-3e6a77a6260f/apply?lever-source=LinkedIn,Lever
130126,Testing,Amazon,https://www.linkedin.com/jobs/search/?currentjobid=2359494234&f_e=2&f_lf=f_al&f_tpr=r604800&geoid=103644278&keywords=software&location=united%20states,LinkedIn
130127,Software Engineer,Adobe,http://get.adobe.com/br/reader,Company Website
